UnitID,Institution Name,Control of institution (HD2019),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1819),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1718_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1617_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1516_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1415_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1314_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1213_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1112_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1011_RV),Average amount of federal  state  local  institutional or other sources of grant aid dollars received by undergraduate students (SFA0910_RV),
206905,Pontotoc Technology Center,1,6679,7146,5716,4770,3671,3461,3113,4885,4196,4076,
493691,Premier Academy of Cosmetology,3,2500,,,,,,,,,,
436067,Pryor Beauty College,3,,,4850,4450,4803,4734,3947,5000,5000,6483,
207157,Randall University,2,10809,9949,9089,8689,8072,6365,7779,7581,7043,5189,
250993,Red River Technology Center,1,4481,3607,4046,3585,3395,2917,3545,3346,3273,3146,
207069,Redlands Community College,1,4338,3423,3135,3251,3609,3298,3710,3622,3855,3190,
483717,River Valley Cosmetology Institute,3,4931,5158,4272,4607,4404,3998,,,,,
207661,Rogers State University,1,6106,6042,5704,4736,4391,5110,4945,5034,4852,4661,
207670,Rose State College,1,2577,3653,3483,3385,3110,2953,3017,3163,2938,3255,
207740,Seminole State College,1,5353,6084,4481,4521,6206,2397,5719,3493,4457,3947,
439932,Shawnee Beauty College,3,5797,5029,4800,5011,4764,4750,4631,5105,5000,5882,
207847,Southeastern Oklahoma State University,1,8248,7911,7728,7500,7162,6756,6830,6467,6885,6215,
206862,Southern Nazarene University,2,15232,15059,21874,9920,13335,10772,14348,11286,8508,8864,
365198,Southern Oklahoma Technology Center,1,3864,3456,2870,2936,3082,3482,4166,4487,4281,3301,
207786,Southern School of Beauty Inc,3,6195,6095,5920,7095,5775,5730,5474,6500,5550,5550,
368364,Southwest Technology Center,1,4051,4338,3250,2700,2611,3262,2864,3081,2376,3936,
207856,Southwestern Christian University,2,9382,9105,8498,7696,16720,6553,3790,12690,6178,11949,
207865,Southwestern Oklahoma State University,1,7477,7218,7190,6983,6846,6577,6469,6072,6136,5798,
207254,Spartan College of Aeronautics and Technology,3,6825,16593,11966,4125,3450,3884,8030,4865,4008,3833,
488828,Totally Cosmo School of Modern Cosmetology,3,4289,4361,4359,,,,,,,,
207935,Tulsa Community College,1,4042,3811,3732,3515,3598,5426,5567,4100,3655,2696,
488934,Tulsa Technology Center,1,3425,3358,2420,3348,,,,,,,
207962,Tulsa Welding School-Tulsa,3,5272,5058,4436,4103,4534,4513,3986,3763,3857,4267,
206941,University of Central Oklahoma,1,8392,6582,5728,5995,6022,5807,5440,5199,4976,4636,
207342,University of Oklahoma-Health Sciences Center,1,4961,5709,4040,4244,4164,4876,3564,3171,3104,2203,
207500,University of Oklahoma-Norman Campus,1,9098,9154,8679,8422,8079,7415,7164,6858,7160,6726,
207722,University of Science and Arts of Oklahoma,1,10973,10086,9925,8513,8239,7659,7374,9776,7340,7143,
207971,University of Tulsa,2,32003,30065,24802,21994,21929,21976,20141,19642,18865,17534,
208017,Virgil's Beauty College,3,,5500,4923,4596,4467,4798,3938,4700,3542,4372,
418357,Wes Watkins Technology Center,1,4212,5002,4316,3913,3935,3969,3586,3928,4072,4280,
208035,Western Oklahoma State College,1,4723,4542,4293,3684,3912,3981,1503,1660,1899,2235,
418302,Western Technology Center,1,4849,2032,3299,2958,4274,3462,3858,3273,3871,3686,
413820,Yukon Beauty College Inc,3,4180,8015,3948,3775,7102,3693,3999,3415,3843,7528,
